date,ahe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,20.49,20.04,,,,,
2006-04,20.84,20.17,,,,,
2006-05,20.68,20.13,,,,,
2006-06,20.52,20.22,,,,,
2006-07,20.66,20.29,,,,,
2006-08,20.2,20.32,,,,,
2006-09,20.64,20.4,,,,,
2006-10,20.83,20.42,,,,,
2006-11,20.67,20.49,,,,,
2006-12,20.47,20.58,,,,,
2007-01,20.59,20.59,,,,,
2007-02,20.49,20.68,,,,,
2007-03,20.54,20.72,0.0024402147388970577,0.0339321357285429,-0.025541758220542214,-0.031491920989645844,0.027981972959439272
2007-04,20.51,20.79,-0.01583493282149704,0.030738720872582916,-0.041764180454780586,-0.04657365369407995,0.025929247633283546
2007-05,20.26,20.84,-0.02030947775628618,0.03527074018877302,-0.04740833518301238,-0.0555802179450592,0.0270988574267262
2007-06,20.6,20.95,0.003898635477582936,0.03610286844708212,-0.02302901566215937,-0.03220423296949918,0.026927651139742305
2007-07,20.47,20.94,-0.009196515004840334,0.03203548546081824,-0.03237542086979846,-0.04123200046565857,0.023178905864958122
2007-08,20.4,21.0,0.009900990099009866,0.03346456692913384,-0.009073494689998915,-0.023563576830123972,0.01897448478900878
2007-09,20.7,21.04,0.0029069767441859845,0.03137254901960787,-0.025431287555616702,-0.028465572275421885,0.028338264299802688
2007-10,20.63,21.06,-0.009601536245799295,0.03134182174338868,-0.04570851990107415,-0.04094335798918798,0.03610698365527485
2007-11,20.56,21.12,-0.005321722302854522,0.030746705710102615,-0.04905439557018127,-0.036068428012957135,0.04373267326732675
2007-12,20.84,21.16,0.018075232046897947,0.028182701652089498,-0.02301290187727733,-0.01010746960519155,0.04108813392417528
2008-01,20.69,21.19,0.004856726566294387,0.029140359397765974,-0.03809022998536531,-0.024283632831471585,0.0429469565516597
2008-02,20.75,21.27,0.012689116642264596,0.028529980657640227,-0.028740476063855158,-0.01584086401537563,0.041429592706119754
2008-03,20.74,21.36,0.009737098344693247,0.030888030888030917,-0.030011937156651187,-0.02115093254333767,0.03974903550134443
2008-04,20.76,21.38,0.012189176011701608,0.028379028379028372,-0.026848433748186552,-0.016189852367326764,0.03903760975988816
2008-05,20.97,21.47,0.03504442250740362,0.030230326295585364,-0.005839715723836271,0.004814096211818254,0.04088413823123989
2008-06,21.19,21.52,0.02864077669902912,0.027207637231503594,-0.020718884360449462,0.0014331394675255252,0.04935966105947858
2008-07,21.41,21.6,0.04592085979482176,0.03151862464183382,-0.009054260988596505,0.014402235152987941,0.05497512078341826
2008-08,21.57,21.7,0.057352941176470676,0.0333333333333333,0.004272769555558366,0.024019607843137378,0.05308017162091231
2008-09,21.61,21.73,0.04396135265700484,0.032794676806083715,-0.005571846094355827,0.011166675850921126,0.04953319875136067
2008-10,21.62,21.76,0.04798836645661668,0.03323836657170004,0.010677787557051656,0.01474999988491664,0.037310578899565024
2008-11,22.05,21.86,0.07247081712062267,0.035037878787878715,0.06147164241445579,0.037432938332743956,0.010999174706166882
2008-12,22.3,21.95,0.0700575815738964,0.03733459357277879,0.07027986159943495,0.03272298800111761,-0.00022228002553854217
2009-01,22.56,21.96,0.09038182696955038,0.03633789523360073,0.09151768715977168,0.05404393173594965,-0.0011358601902212988
2009-02,23.07,21.98,0.11180722891566267,0.03338034790785147,0.11172259750894763,0.0784268810078112,8.463140671503516e-05
