# Industry: Crushed and broken limestone mining and quarrying
# Series ID: CES1021231201
# Parent series: Mining (except oil and gas) (CES1021200001)
# Generated: 2026-03-06
# Denominator options:
#   opt1: Level 4 parent (default) = Mining (except oil and gas)
#   opt2: Level 3 parent = Mining, quarrying, and oil and gas extraction
#   opt3: Level 2 parent = Mining and logging
#   opt4: Goods/Service-providing total = Goods-producing
#   opt5: Total private / Total government = Total private
date,employment_level,log_level,trend_log_level,predicted_level,resid_log_level,share_opt1,denom_employment_opt1,log_share_opt1,trend_log_share_opt1,predicted_share_opt1,resid_log_share_opt1,trend_raw_share_opt1,resid_raw_pct_dev_opt1,hp_cf_log_share_opt1,predicted_share_hp_opt1,resid_log_share_hp_opt1,share_opt2,denom_employment_opt2,log_share_opt2,trend_log_share_opt2,predicted_share_opt2,resid_log_share_opt2,trend_raw_share_opt2,resid_raw_pct_dev_opt2,hp_cf_log_share_opt2,predicted_share_hp_opt2,resid_log_share_hp_opt2,share_opt3,denom_employment_opt3,log_share_opt3,trend_log_share_opt3,predicted_share_opt3,resid_log_share_opt3,trend_raw_share_opt3,resid_raw_pct_dev_opt3,hp_cf_log_share_opt3,predicted_share_hp_opt3,resid_log_share_hp_opt3,share_opt4,denom_employment_opt4,log_share_opt4,trend_log_share_opt4,predicted_share_opt4,resid_log_share_opt4,trend_raw_share_opt4,resid_raw_pct_dev_opt4,hp_cf_log_share_opt4,predicted_share_hp_opt4,resid_log_share_hp_opt4,share_opt5,denom_employment_opt5,log_share_opt5,trend_log_share_opt5,predicted_share_opt5,resid_log_share_opt5,trend_raw_share_opt5,resid_raw_pct_dev_opt5,hp_cf_log_share_opt5,predicted_share_hp_opt5,resid_log_share_hp_opt5
2000-01,28.3,3.342861804649192,,,,0.12401402278702893,228.2,-2.0873606327787835,,,,,,,,,0.05519797152330797,512.7,-2.896829074140463,,,,,,,,,0.04772344013490725,593.0,-3.0423325943485335,,,,,,,,,0.0011490519306508588,24629.0,-6.768818084747934,,,,,,,,,0.00025624773632741763,110440.0,-8.269365861394899,,,,,,,,
2000-02,27.9,3.32862668882732,,,,0.1232876712328767,226.3,-2.093234863812172,,,,,,,,,0.0543859649122807,513.0,-2.9116491563434495,,,,,,,,,0.04696969696969697,594.0,-3.0582526305353253,,,,,,,,,0.001133777633289987,24608.0,-6.782200183478051,,,,,,,,,0.00025244071262475005,110521.0,-8.284334138305182,,,,,,,,
2000-03,28.1,3.3357695763397,,,,0.12439132359451086,225.9,-2.0843228471342576,,,,,,,,,0.05478650809124586,512.9,-2.9043113180555227,,,,,,,,,0.047386172006745365,593.0,-3.0494248226580254,,,,,,,,,0.0011373755363069701,24706.0,-6.779031831757059,,,,,,,,,0.0002534477004807389,110871.0,-8.280353065958494,,,,,,,,
2000-04,28.2,3.339321977944068,,,,0.12472357363998231,226.1,-2.081655401339856,,,,,,,,,0.05454545454545454,517.0,-2.908720896564361,,,,,,,,,0.047315436241610734,596.0,-3.050918689121282,,,,,,,,,0.0011422090809672324,24689.0,-6.774791101347297,,,,,,,,,0.0002538665130264129,111082.0,-8.27870196835599,,,,,,,,
2000-05,28.2,3.339321977944068,,,,0.12505543237250555,225.5,-2.0789981809986653,,,,,,,,,0.05429341547939931,519.4,-2.91335232128458,,,,,,,,,0.047157190635451506,598.0,-3.054268776006564,,,,,,,,,0.0011442018988882577,24646.0,-6.773047916554001,,,,,,,,,0.00025415021900178445,110958.0,-8.277585052368863,,,,,,,,
2000-06,28.3,3.342861804649192,,,,0.12667860340196957,223.4,-2.066102081985908,,,,,,,,,0.0546015820953116,518.3,-2.9076924205464687,,,,,,,,,0.04740368509212731,597.0,-3.04905530874341,,,,,,,,,0.001147142278070531,24670.0,-6.770481404874211,,,,,,,,,0.00025455134201626253,111176.0,-8.276008005517227,,,,,,,,
2000-07,28.4,3.3463891451671604,,,,0.12695574430040232,223.7,-2.0639167233289237,,,,,,,,,0.054531490015360985,520.8,-2.9089769457271992,,,,,,,,,0.04725457570715474,601.0,-3.052205789368047,,,,,,,,,0.001149006756483392,24717.0,-6.7688573998165396,,,,,,,,,0.0002550264455240165,111361.0,-8.274143310245824,,,,,,,,
2000-08,28.5,3.349904087274605,,,,0.1274027715690657,223.7,-2.060401781221479,,,,,,,,,0.05471299673641774,520.9,-2.905653997476541,,,,,,,,,0.0475,600.0,-3.0470255679415414,,,,,,,,,0.001154640845926346,24683.0,-6.763965939273119,,,,,,,,,0.0002558417192563534,111397.0,-8.27095158885605,,,,,,,,
2000-09,28.4,3.3463891451671604,,,,0.1260541500221926,225.3,-2.0710437022710386,,,,,,,,,0.05402320715236826,525.7,-2.918341562658242,,,,,,,,,0.04694214876033058,605.0,-3.058839312863681,,,,,,,,,0.0011525506270037742,24641.0,-6.765777856072355,,,,,,,,,0.0002544757262414652,111602.0,-8.276305104748559,,,,,,,,
2000-10,28.4,3.3463891451671604,,,,0.12633451957295372,224.8,-2.068821972852376,,,,,,,,,0.05375733484762446,528.3,-2.9232751590031096,,,,,,,,,0.046787479406919276,607.0,-3.062139645892338,,,,,,,,,0.0011526909651757447,24638.0,-6.765656100354759,,,,,,,,,0.00025445976578949726,111609.0,-8.276367825671832,,,,,,,,
2000-11,28.2,3.339321977944068,,,,0.1261744966442953,223.5,-2.0700894361095554,,,,,,,,,0.053500284575981785,527.1,-2.9280683059170936,,,,,,,,,0.04661157024793388,605.0,-3.0659064800867735,,,,,,,,,0.001145224171539961,24624.0,-6.772154878134592,,,,,,,,,0.00025224516082865216,111796.0,-8.2851090829437,,,,,,,,
2000-12,27.6,3.3178157727231046,,,,0.12505663797009517,220.7,-2.0789885405395863,,,,,,,,,0.052491441612780534,525.8,-2.947105139572676,,,,,,,,,0.0459234608985025,601.0,-3.080779161812103,,,,,,,,,0.0011231382762269065,24574.0,-6.791628479704412,,,,,,,,,0.00024662234612910145,111912.0,-8.307652354433163,,,,,,,,
2001-01,27.7,3.3214324131932926,,,,0.1259663483401546,219.9,-2.0717404843674228,,,,,,,,,0.052283880709701774,529.8,-2.9510671636446766,,,,,,,,,0.045709570957095706,606.0,-3.0854475728760216,,,,,,,,,0.00112899938862849,24535.0,-6.7864235353307105,,,,,,,,,0.00024761325848321236,111868.0,-8.303642470593887,,,,,,,,
2001-02,28.0,3.332204510175204,,,,0.12658227848101267,221.2,-2.0668627594729756,,,,,,,,,0.05254269093638582,532.9,-2.9461292791275326,,,,,,,,,0.04612850082372323,607.0,-3.076324280884294,,,,,,,,,0.0011438843042732248,24478.0,-6.77332552376708,,,,,,,,,0.00025026367065300944,111882.0,-8.292995513276944,,,,,,,,
2001-03,27.9,3.32862668882732,,,,0.1263586956521739,220.8,-2.0686306255756204,,,,,,,,,0.05210084033613445,535.5,-2.9545742010604834,,,,,,,,,0.045737704918032786,610.0,-3.084832268340037,,,,,,,,,0.0011429741909053665,24410.0,-6.774121474559686,,,,,,,,,0.00024953938071302074,111806.0,-8.295893816698749,,,,,,,,
2001-04,27.7,3.3214324131932926,,,,0.1258518855065879,220.1,-2.072649575339123,,,,,,,,,0.05174668410237251,535.3,-2.9613949242060427,,,,,,,,,0.04548440065681445,609.0,-3.090385854516604,,,,,,,,,0.0011420325706039992,24255.0,-6.774945647486024,,,,,,,,,0.0002485062709705202,111466.0,-8.300042477452152,,,,,,,,
2001-05,27.5,3.3141860046725258,,,,0.12585812356979406,218.5,-2.072600009863119,,,,,,,,,0.05137306183448534,535.3,-2.96864133272681,,,,,,,,,0.0451559934318555,609.0,-3.0976322630373714,,,,,,,,,0.0011402272161870801,24118.0,-6.776527723991013,,,,,,,,,0.0002469047127375897,111379.0,-8.306508074158248,,,,,,,,
2001-06,27.3,3.3068867021909143,,,,0.12534435261707988,217.8,-2.076690508307946,,,,,,,,,0.051008968609865465,535.2,-2.975753806623105,,,,,,,,,0.04475409836065574,610.0,-3.106572254976443,,,,,,,,,0.0011392563535450487,23963.0,-6.777379550881654,,,,,,,,,0.00024558531165945507,111163.0,-8.311866169426578,,,,,,,,
2001-07,27.3,3.3068867021909143,,,,0.1247144814984011,218.9,-2.081728302337903,,,,,,,,,0.05093283582089552,536.0,-2.977247458879888,,,,,,,,,0.04475409836065574,610.0,-3.106572254976443,,,,,,,,,0.0011453263970464843,23836.0,-6.772065619675955,,,,,,,,,0.0002459747537999946,110987.0,-8.310281654127696,,,,,,,,
