# Industry: Other specialty trade contractors
# Series ID: CES2023890001
# Denominator: Specialty trade contractors (CES2023800001)
# Generated: 2026-03-04
date,employment_level,employment_share,log_level,log_share,trend_level,trend_share,predicted_level_trend,predicted_share_trend,resid_log_level_linear_trend,resid_log_share_quad_trend,hamilton_cf_log_level,hamilton_cf_log_share,predicted_level_hamilton,predicted_share_hamilton,resid_log_level_hamilton,resid_log_share_hamilton
2000-01,543.0,0.1297243059869081,6.297109319933935,-2.042343803621942,6.374962965558245,-2.0365502313564554,586.9636926664905,0.13047805446805485,-0.07785364562430974,-0.005793572265486713,6.297109319933935,-2.042343803621942,542.9999999999999,0.1297243059869081,0.0,0.0
2000-02,542.2,0.1300239808153477,6.295634937064565,-2.040036377728282,6.375290354494268,-2.0347825802316675,587.155889545166,0.1307088981132023,-0.07965541742970306,-0.005253797496614698,6.295634937064565,-2.040036377728282,542.2,0.1300239808153477,0.0,0.0
2000-03,554.0,0.1311925736478166,6.317164686747284,-2.031089007368256,6.375617743430292,-2.0330258134669776,587.3481493572746,0.13093872497824768,-0.05845305668300771,0.0019368060987217106,6.317164686747284,-2.031089007368256,554.0000000000001,0.1311925736478166,0.0,0.0
2000-04,548.4,0.1300820722045637,6.307004947688159,-2.0395897030776355,6.375945132366316,-2.0312799310623872,587.5404721234235,0.1311675282679675,-0.06894018467815677,-0.008309772015248296,6.307004947688159,-2.0395897030776355,548.3999999999999,0.13008207220456372,0.0,0.0
2000-05,533.8,0.1271315613984948,6.280021236970423,-2.062532812191219,6.376272521302339,-2.0295449330178945,587.7328578642257,0.13139530120867954,-0.09625128433191588,-0.032987879173324686,6.280021236970423,-2.062532812191219,533.7999999999998,0.12713156139849477,0.0,0.0
2000-06,537.1,0.127744083719824,6.286184296911414,-2.057726362361539,6.376599910238363,-2.0278208193335,587.9253066003024,0.13162203704857509,-0.09041561332694847,-0.029905543028039272,6.286184296911414,-2.057726362361539,537.1000000000003,0.127744083719824,0.0,0.0
2000-07,539.9,0.1281114301307453,6.291383937224241,-2.0548548458731197,6.376927299174386,-2.0261075900092043,588.1178183522808,0.13184772905805126,-0.08554336195014489,-0.028747255863915466,6.291383937224241,-2.0548548458731197,539.8999999999999,0.1281114301307453,0.0,0.0
2000-08,540.9,0.1281389178432673,6.293234418877382,-2.054640307919554,6.377254688110409,-2.0244052450450067,588.310393140795,0.1320723705300429,-0.08402026923302763,-0.030235062874547136,6.293234418877382,-2.054640307919554,540.9000000000002,0.1281389178432673,0.0,0.0
2000-09,542.4,0.1280816095211107,6.296003736626186,-2.0550876438430397,6.3775820770464335,-2.0227137844409078,588.5030309864865,0.13229595478035305,-0.08157834042024792,-0.03237385940213189,6.296003736626186,-2.0550876438430397,542.3999999999999,0.1280816095211107,0.0,0.0
2000-10,546.0,0.1286916350437221,6.302618975744905,-2.050336162267648,6.377909465982457,-2.0210332081969073,588.6957319100015,0.1325184751479834,-0.07529049023755174,-0.029302954070740572,6.302618975744905,-2.050336162267648,546.0000000000001,0.1286916350437221,0.0,0.0
