# Industry: Computer and electronic product manufacturing
# Series ID: CES3133400001
# Parent series: Total private (CES0500000001)
# Generated: 2026-03-05
# Denominator options:
#   opt1: Level 4 parent (default) = Goods-producing
#   opt2: Level 3 parent = Goods-producing
#   opt3: Level 2 parent = Goods-producing
#   opt4: Goods/Service-providing total = Goods-producing
#   opt5: Total private / Total government = Total private
date,employment_level,log_level,trend_log_level,predicted_level,resid_log_level,share_opt1,denom_employment_opt1,log_share_opt1,trend_log_share_opt1,predicted_share_opt1,resid_log_share_opt1,trend_raw_share_opt1,resid_raw_pct_dev_opt1,share_opt2,denom_employment_opt2,log_share_opt2,trend_log_share_opt2,predicted_share_opt2,resid_log_share_opt2,trend_raw_share_opt2,resid_raw_pct_dev_opt2,share_opt3,denom_employment_opt3,log_share_opt3,trend_log_share_opt3,predicted_share_opt3,resid_log_share_opt3,trend_raw_share_opt3,resid_raw_pct_dev_opt3,share_opt4,denom_employment_opt4,log_share_opt4,trend_log_share_opt4,predicted_share_opt4,resid_log_share_opt4,trend_raw_share_opt4,resid_raw_pct_dev_opt4,share_opt5,denom_employment_opt5,log_share_opt5,trend_log_share_opt5,predicted_share_opt5,resid_log_share_opt5,trend_raw_share_opt5,resid_raw_pct_dev_opt5
2000-01,1782.5,7.485772152288451,,,,0.07237403061431645,24629.0,-2.6259077371086743,,,,,,0.07237403061431645,24629.0,-2.6259077371086743,,,,,,0.07237403061431645,24629.0,-2.6259077371086743,,,,,,0.07237403061431645,24629.0,-2.6259077371086743,,,,,,0.016139985512495472,110440.0,-4.12645551375564,,,,,
2000-02,1785.8,7.487621773083116,,,,0.07256989596879064,24608.0,-2.6232050992222544,,,,,,0.07256989596879064,24608.0,-2.6232050992222544,,,,,,0.07256989596879064,24608.0,-2.6232050992222544,,,,,,0.07256989596879064,24608.0,-2.6232050992222544,,,,,,0.01615801521882719,110521.0,-4.125339054049387,,,,,
2000-03,1784.2,7.486725414479683,,,,0.0722172751558326,24706.0,-2.628075993617076,,,,,,0.0722172751558326,24706.0,-2.628075993617076,,,,,,0.0722172751558326,24706.0,-2.628075993617076,,,,,,0.0722172751558326,24706.0,-2.628075993617076,,,,,,0.016092576056858873,110871.0,-4.129397227818511,,,,,
2000-04,1787.4,7.4885173289472915,,,,0.07239661387662522,24689.0,-2.6255957503440737,,,,,,0.07239661387662522,24689.0,-2.6255957503440737,,,,,,0.07239661387662522,24689.0,-2.6255957503440737,,,,,,0.07239661387662522,24689.0,-2.6255957503440737,,,,,,0.01609081579373796,111082.0,-4.129506617352767,,,,,
2000-05,1792.4,7.491310782911988,,,,0.07272579728962104,24646.0,-2.62105911158608,,,,,,0.07272579728962104,24646.0,-2.62105911158608,,,,,,0.07272579728962104,24646.0,-2.62105911158608,,,,,,0.07272579728962104,24646.0,-2.62105911158608,,,,,,0.01615386001910633,110958.0,-4.125596247400943,,,,,
2000-06,1803.8,7.497650829731608,,,,0.07311714633157682,24670.0,-2.6156923797917946,,,,,,0.07311714633157682,24670.0,-2.6156923797917946,,,,,,0.07311714633157682,24670.0,-2.6156923797917946,,,,,,0.07311714633157682,24670.0,-2.6156923797917946,,,,,,0.016224724760739728,111176.0,-4.1212189804348105,,,,,
2000-07,1832.0,7.513163545234075,,,,0.07411902739005542,24717.0,-2.602082999749624,,,,,,0.07411902739005542,24717.0,-2.602082999749624,,,,,,0.07411902739005542,24717.0,-2.602082999749624,,,,,,0.07411902739005542,24717.0,-2.602082999749624,,,,,,0.016451001697183037,111361.0,-4.107368910178909,,,,,
2000-08,1844.1,7.519746632581073,,,,0.0747113397885184,24683.0,-2.59412339396665,,,,,,0.0747113397885184,24683.0,-2.59412339396665,,,,,,0.0747113397885184,24683.0,-2.59412339396665,,,,,,0.0747113397885184,24683.0,-2.59412339396665,,,,,,0.016554305771250572,111397.0,-4.101109043549582,,,,,
2000-09,1846.8,7.521209690632833,,,,0.0749482569700905,24641.0,-2.5909573106066817,,,,,,0.0749482569700905,24641.0,-2.5909573106066817,,,,,,0.0749482569700905,24641.0,-2.5909573106066817,,,,,,0.0749482569700905,24641.0,-2.5909573106066817,,,,,,0.0165480905360119,111602.0,-4.101484559282885,,,,,
2000-10,1855.7,7.526017262350293,,,,0.07531861352382499,24638.0,-2.5860279831716264,,,,,,0.07531861352382499,24638.0,-2.5860279831716264,,,,,,0.07531861352382499,24638.0,-2.5860279831716264,,,,,,0.07531861352382499,24638.0,-2.5860279831716264,,,,,,0.016626795330125708,111609.0,-4.096739708488698,,,,,
2000-11,1861.3,7.5290304473042875,,,,0.0755888564002599,24624.0,-2.582446408774373,,,,,,0.0755888564002599,24624.0,-2.582446408774373,,,,,,0.0755888564002599,24624.0,-2.582446408774373,,,,,,0.0755888564002599,24624.0,-2.582446408774373,,,,,,0.016649075101076962,111796.0,-4.0954006135834815,,,,,
2000-12,1864.5,7.530748199618875,,,,0.07587287376902417,24574.0,-2.578696052808641,,,,,,0.07587287376902417,24574.0,-2.578696052808641,,,,,,0.07587287376902417,24574.0,-2.578696052808641,,,,,,0.07587287376902417,24574.0,-2.578696052808641,,,,,,0.016660411752090928,111912.0,-4.094719927537391,,,,,
2001-01,1873.1,7.535350091301846,,,,0.07634399836967597,24535.0,-2.5725058572221573,,,,,,0.07634399836967597,24535.0,-2.5725058572221573,,,,,,0.07634399836967597,24535.0,-2.5725058572221573,,,,,,0.07634399836967597,24535.0,-2.5725058572221573,,,,,,0.016743840955411735,111868.0,-4.089724792485334,,,,,
