# Industry: Transportation equipment and supplies (except motor vehicle) merchant wholesalers
# Series ID: CES4142386001
# Parent series: Merchant wholesalers, durable goods (CES4142300001)
# Generated: 2026-03-05
# Denominator options:
#   opt1: Level 4 parent (default) = Merchant wholesalers, durable goods
#   opt2: Level 3 parent = Service-providing
#   opt3: Level 2 parent = Service-providing
#   opt4: Goods/Service-providing total = Service-providing
#   opt5: Total private / Total government = Total private
date,employment_level,log_level,trend_log_level,predicted_level,resid_log_level,share_opt1,denom_employment_opt1,log_share_opt1,trend_log_share_opt1,predicted_share_opt1,resid_log_share_opt1,trend_raw_share_opt1,resid_raw_pct_dev_opt1,share_opt2,denom_employment_opt2,log_share_opt2,trend_log_share_opt2,predicted_share_opt2,resid_log_share_opt2,trend_raw_share_opt2,resid_raw_pct_dev_opt2,share_opt3,denom_employment_opt3,log_share_opt3,trend_log_share_opt3,predicted_share_opt3,resid_log_share_opt3,trend_raw_share_opt3,resid_raw_pct_dev_opt3,share_opt4,denom_employment_opt4,log_share_opt4,trend_log_share_opt4,predicted_share_opt4,resid_log_share_opt4,trend_raw_share_opt4,resid_raw_pct_dev_opt4,share_opt5,denom_employment_opt5,log_share_opt5,trend_log_share_opt5,predicted_share_opt5,resid_log_share_opt5,trend_raw_share_opt5,resid_raw_pct_dev_opt5
2000-01,41.6,3.728100167267218,,,,0.012392755004766444,3356.8,-4.390643250934761,,,,,,0.00039104359760109794,106382.0,-7.846691501378778,,,,,,0.00039104359760109794,106382.0,-7.846691501378778,,,,,,0.00039104359760109794,106382.0,-7.846691501378778,,,,,,0.0003766751177109743,110440.0,-7.8841274987768735,,,,,
2000-02,42.0,3.7376696182833684,,,,0.012513407222023596,3356.4,-4.380954631712546,,,,,,0.0003943217665615142,106512.0,-7.8383433155571165,,,,,,0.0003943217665615142,106512.0,-7.8383433155571165,,,,,,0.0003943217665615142,106512.0,-7.8383433155571165,,,,,,0.0003800182770695162,110521.0,-7.875291208849134,,,,,
2000-03,41.6,3.728100167267218,,,,0.012372483121672665,3362.3,-4.392280375319995,,,,,,0.0003891560178862093,106898.0,-7.8515302204970014,,,,,,0.0003891560178862093,106898.0,-7.8515302204970014,,,,,,0.0003891560178862093,106898.0,-7.8515302204970014,,,,,,0.00037521083060493727,110871.0,-7.888022475030976,,,,,
2000-04,41.7,3.730501128804756,,,,0.012398537151012398,3363.3,-4.390176785022902,,,,,,0.0003890106814683521,107195.0,-7.851903755935276,,,,,,0.0003890106814683521,107195.0,-7.851903755935276,,,,,,0.0003890106814683521,107195.0,-7.851903755935276,,,,,,0.00037539835436884464,111082.0,-7.887522817495303,,,,,
2000-05,41.3,3.720862499966987,,,,0.012301185441115147,3357.4,-4.398059643921327,,,,,,0.0003843326291888069,107459.0,-7.864002158484326,,,,,,0.0003843326291888069,107459.0,-7.864002158484326,,,,,,0.0003843326291888069,107459.0,-7.864002158484326,,,,,,0.00037221290938913823,110958.0,-7.896044530345945,,,,,
2000-06,41.0,3.713572066704308,,,,0.01222822034656566,3352.9,-4.404008855279001,,,,,,0.00038177534848640043,107393.0,-7.870678215319734,,,,,,0.00038177534848640043,107393.0,-7.870678215319734,,,,,,0.00038177534848640043,107393.0,-7.870678215319734,,,,,,0.0003687846297762107,111176.0,-7.90529774346211,,,,,
2000-07,40.3,3.696351468952637,,,,0.012034880248462044,3348.6,-4.419946158069806,,,,,,0.0003748453646603603,107511.0,-7.888996977943708,,,,,,0.0003748453646603603,107511.0,-7.888996977943708,,,,,,0.0003748453646603603,107511.0,-7.888996977943708,,,,,,0.00036188611812034734,111361.0,-7.924180986460348,,,,,
2000-08,39.8,3.6838669122903918,,,,0.01192080749992512,3338.7,-4.429469876357097,,,,,,0.0003700569962157488,107551.0,-7.901853520363188,,,,,,0.0003700569962157488,107551.0,-7.901853520363188,,,,,,0.0003700569962157488,107551.0,-7.901853520363188,,,,,,0.00035728071671589,111397.0,-7.936988763840263,,,,,
2000-09,40.2,3.6938669956249757,,,,0.012075335676308913,3329.1,-4.416590280549652,,,,,,0.0003732729163571535,107696.0,-7.893200726625519,,,,,,0.0003732729163571535,107696.0,-7.893200726625519,,,,,,0.0003732729163571535,107696.0,-7.893200726625519,,,,,,0.00036020859841221485,111602.0,-7.928827254290744,,,,,
2000-10,39.6,3.6788291182604347,,,,0.011920529801324504,3322.0,-4.429493171912806,,,,,,0.00036764023246746013,107714.0,-7.908405727150933,,,,,,0.00036764023246746013,107714.0,-7.908405727150933,,,,,,0.00036764023246746013,107714.0,-7.908405727150933,,,,,,0.00035481009596000324,111609.0,-7.943927852578557,,,,,
